genres,id,original_language,release_date,runtime,title,vote_average,director
Action Adventure,20662,en,5/12/2010,140,Robin Hood,6.2,Ridley Scott
Adventure Fantasy,57158,en,12/11/2013,161,The Hobbit: The Desolation of Smaug,7.6,Peter Jackson
Adventure Fantasy,2268,en,12/4/2007,113,The Golden Compass,5.8,Chris Weitz
Adventure Drama Action,254,en,12/14/2005,187,King Kong,6.6,Peter Jackson
Drama Romance Thriller,597,en,11/18/1997,194,Titanic,7.5,James Cameron
Adventure Action Science Fiction,271110,en,4/27/2016,147,Captain America: Civil War,7.1,Anthony Russo
Thriller Action Adventure Science Fiction,44833,en,4/11/2012,131,Battleship,5.5,Peter Berg
Action Adventure Science Fiction Thriller,135397,en,6/9/2015,124,Jurassic World,6.5,
Action Adventure Thriller,37724,en,10/25/2012,143,Skyfall,6.9,Sam Mendes
Action Adventure Fantasy,558,en,6/25/2004,127,Spider-Man 2,6.7,Sam Raimi
Action Adventure Science Fiction,68721,en,4/18/2013,130,Iron Man 3,6.8,Shane Black
Family Fantasy Adventure,12155,en,3/3/2010,108,Alice in Wonderland,6.4,Tim Burton
Adventure Action Science Fiction Thriller,36668,en,5/24/2006,104,X-Men: The Last Stand,6.3,Brett Ratner
Animation Family,62211,en,6/20/2013,104,Monsters University,7,Dan Scanlon
Science Fiction Action Adventure,8373,en,6/19/2009,150,Transformers: Revenge of the Fallen,6,Michael Bay
Science Fiction Action Adventure,91314,en,6/25/2014,165,Transformers: Age of Extinction,5.8,Michael Bay
Fantasy Adventure Family,68728,en,3/7/2013,130,Oz: The Great and Powerful,5.7,Sam Raimi
Action Adventure Fantasy,102382,en,4/16/2014,142,The Amazing Spider-Man 2,6.5,Marc Webb
Adventure Action Science Fiction,20526,en,12/10/2010,125,TRON: Legacy,6.3,Joseph Kosinski
Animation Family Adventure Comedy,49013,en,6/11/2011,106,Cars 2,5.8,John Lasseter
Adventure Action Thriller Science Fiction,44912,en,6/16/2011,114,Green Lantern,5.1,Martin Campbell
Animation Family Comedy,10193,en,6/16/2010,103,Toy Story 3,7.6,Lee Unkrich
Action Science Fiction Thriller,534,en,5/20/2009,115,Terminator Salvation,5.9,McG
Action,168259,en,4/1/2015,137,Furious 7,7.3,James Wan
Action Drama Horror Science Fiction Thriller,72190,en,6/20/2013,116,World War Z,6.7,Marc Forster
Action Adventure Fantasy Science Fiction,127585,en,5/15/2014,131,X-Men: Days of Future Past,7.5,Bryan Singer
Action Adventure Science Fiction,54138,en,5/5/2013,132,Star Trek Into Darkness,7.4,J.J. Abrams
Action Family Fantasy,81005,en,2/27/2013,114,Jack the Giant Slayer,5.5,Bryan Singer
Drama Romance,64682,en,5/10/2013,143,The Great Gatsby,7.3,Baz Luhrmann
Adventure Fantasy Action Romance,9543,en,5/19/2010,116,Prince of Persia: The Sands of Time,6.2,Mike Newell
Action Science Fiction Adventure,68726,en,7/11/2013,131,Pacific Rim,6.7,Guillermo del Toro
Action Science Fiction Adventure,38356,en,6/28/2011,154,Transformers: Dark of the Moon,6.1,Michael Bay
Adventure Action,217,en,5/21/2008,122,Indiana Jones and the Kingdom of the Crystal Skull,5.7,Steven Spielberg
Adventure Animation Family,105864,en,11/14/2015,93,The Good Dinosaur,6.6,Peter Sohn
Animation Adventure Comedy Family Action,62177,en,6/21/2012,93,Brave,6.7,Brenda Chapman
Action Adventure Science Fiction,188927,en,7/7/2016,122,Star Trek Beyond,6.6,Justin Lin
Animation Family,10681,en,6/22/2008,98,WALL·E,7.8,Andrew Stanton
Action Comedy Crime Thriller,5174,en,8/8/2007,91,Rush Hour 3,6.1,Brett Ratner
Action Adventure Science Fiction,14161,en,10/10/2009,158,2012,5.6,Roland Emmerich
Animation Drama,17979,en,11/4/2009,96,A Christmas Carol,6.6,Robert Zemeckis
Science Fiction Fantasy Action Adventure,76757,en,2/4/2015,124,Jupiter Ascending,5.2,Lilly Wachowski
Action Adventure,258489,en,6/29/2016,109,The Legend of Tarzan,5.5,David Yates
Adventure Family Fantasy,411,en,12/7/2005,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,Andrew Adamson
Science Fiction,246655,en,5/18/2016,144,X-Men: Apocalypse,6.4,Bryan Singer
Drama Action Crime Thriller,155,en,7/16/2008,152,The Dark Knight,8.2,Christopher Nolan
Animation Comedy Family Adventure,14160,en,5/13/2009,96,Up,7.7,Pete Docter
Animation Family Adventure Science Fiction,15512,en,3/19/2009,94,Monsters vs Aliens,6,Conrad Vernon
Action Science Fiction Adventure,1726,en,4/30/2008,126,Iron Man,7.4,Jon Favreau
Adventure Drama Family,44826,en,11/22/2011,126,Hugo,7,Martin Scorsese
Action Adventure Comedy Science Fiction Western,8487,en,6/29/1999,106,Wild Wild West,5.1,Barry Sonnenfeld
Adventure Action Fantasy,1735,en,7/1/2008,112,The Mummy: Tomb of the Dragon Emperor,5.2,Rob Cohen
Action Adventure Crime Fantasy Science Fiction,297761,en,8/2/2016,123,Suicide Squad,5.9,David Ayer
Fantasy Comedy Family,2698,en,6/9/2007,96,Evan Almighty,5.3,Tom Shadyac
Action Science Fiction,137113,en,5/27/2014,113,Edge of Tomorrow,7.6,Doug Liman
Adventure Action,9804,en,7/28/1995,135,Waterworld,5.9,Kevin Reynolds
Adventure Action Thriller Science Fiction,14869,en,8/4/2009,118,G.I. Joe: The Rise of Cobra,5.6,Stephen Sommers
Drama Comedy Animation Family,150540,en,6/9/2015,94,Inside Out,8,Pete Docter
Family Adventure Drama Fantasy,278927,en,4/7/2016,106,The Jungle Book,6.7,Jon Favreau
Adventure Action Science Fiction,10138,en,4/28/2010,124,Iron Man 2,6.6,Jon Favreau
Adventure Fantasy Drama,58595,en,5/30/2012,127,Snow White and the Huntsman,5.8,Rupert Sanders
Fantasy Adventure Action Family Romance,102651,en,5/28/2014,97,Maleficent,7,Robert Stromberg
Science Fiction Action Drama Thriller,119450,en,6/26/2014,130,Dawn of the Planet of the Apes,7.3,Matt Reeves
Action Adventure Science Fiction Romance,79698,en,2/13/2015,109,The Lovers,4.8,Roland Joff\u00e9
Drama Action Adventure Fantasy,64686,en,12/6/2013,119,47 Ronin,5.9,Carl Rinsch
Action Adventure Science Fiction,100402,en,3/20/2014,136,Captain America: The Winter Soldier,7.6,Anthony Russo
Comedy Adventure Fantasy Animation Family,10192,en,5/16/2010,93,Shrek Forever After,6,Mike Mitchell
Adventure Family Mystery Science Fiction,158852,en,5/19/2015,130,Tomorrowland,6.2,Brad Bird
Adventure Family Animation Action Comedy,177572,en,10/24/2014,102,Big Hero 6,7.8,Chris Williams
Family Animation Comedy Adventure,82690,en,11/1/2012,108,Wreck-It Ralph,7.1,Rich Moore
Adventure Animation Family Fantasy,5255,en,11/10/2004,100,The Polar Express,6.4,Robert Zemeckis
Action Adventure Science Fiction,47933,en,6/22/2016,120,Independence Day: Resurgence,4.9,Roland Emmerich
Fantasy Adventure Animation Family,10191,en,3/5/2010,98,How to Train Your Dragon,7.5,Chris Sanders
Action Thriller Science Fiction,296,en,7/2/2003,109,Terminator 3: Rise of the Machines,5.9,Jonathan Mostow
Action Science Fiction Adventure,118340,en,7/30/2014,121,Guardians of the Galaxy,7.9,James Gunn
Adventure Drama Science Fiction,157336,en,11/5/2014,169,Interstellar,8.1,Christopher Nolan
Action Thriller Science Fiction Mystery Adventure,27205,en,7/14/2010,148,Inception,8.1,Christopher Nolan
Action Adventure Drama Horror Science Fiction,315011,ja,7/29/2016,120,Shin Godzilla,6.5,Hideaki Anno
Adventure Fantasy Action,49051,en,11/26/2012,169,The Hobbit: An Unexpected Journey,7,Peter Jackson
Action Crime Thriller,9799,en,6/22/2001,106,The Fast and the Furious,6.6,Rob Cohen
Fantasy Drama Thriller Mystery Romance,4922,en,11/24/2008,166,The Curious Case of Benjamin Button,7.3,David Fincher
Action Science Fiction Adventure,49538,en,5/24/2011,132,X-Men: First Class,7.1,Matthew Vaughn
Action Adventure Science Fiction,131634,en,11/18/2015,137,The Hunger Games: Mockingjay - Part 2,6.6,Francis Lawrence
Fantasy Adventure Action Comedy Drama,27022,en,7/13/2010,109,The Sorcerer's Apprentice,5.8,Jon Turteltaub
Adventure Action Drama Thriller,503,en,5/12/2006,99,Poseidon,5.5,Wolfgang Petersen
Fantasy,241259,en,5/25/2016,113,Alice Through the Looking Glass,6.5,James Bobin
Fantasy Adventure Animation Comedy Family,810,en,5/17/2007,93,Shrek the Third,6,Chris Miller
Action Adventure Fantasy,68735,en,5/25/2016,123,Warcraft,6.3,Duncan Jones
Science Fiction Action Thriller Adventure,87101,en,6/23/2015,126,Terminator Genisys,5.8,Alan Taylor
Adventure Family Fantasy,10140,en,8/13/2010,113,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,Michael Apted
History Romance War,676,en,5/21/2001,183,Pearl Harbor,6.6,Michael Bay
Adventure Science Fiction Action,1858,en,6/27/2007,144,Transformers,6.6,Michael Bay
War History Action Adventure Drama,1966,en,11/21/2004,175,Alexander,5.6,Oliver Stone
Adventure Fantasy Family Mystery,675,en,6/28/2007,138,Harry Potter and the Order of the Phoenix,7.4,David Yates
Adventure Fantasy Family,674,en,11/5/2005,157,Harry Potter and the Goblet of Fire,7.5,Mike Newell
Fantasy Action,8960,en,7/1/2008,92,Hancock,6.2,Peter Berg
Drama Horror Action Thriller Science Fiction,6479,en,12/14/2007,101,I Am Legend,6.9,Francis Lawrence
Adventure Comedy Family Fantasy,118,en,7/13/2005,115,Charlie and the Chocolate Factory,6.7,Tim Burton
Animation Comedy Family Fantasy,2062,en,6/22/2007,111,Ratatouille,7.5,Jan Pinkava
Action Crime Drama,272,en,6/10/2005,140,Batman Begins,7.5,Christopher Nolan
Family Animation,10527,en,10/30/2008,89,Madagascar: Escape 2 Africa,6.2,Eric Darnell
Adventure Fantasy Action Comedy Family,18360,en,5/20/2009,105,Night at the Museum: Battle of the Smithsonian,5.9,Shawn Levy
Adventure Action Thriller Science Fiction,2080,en,4/28/2009,107,X-Men Origins: Wolverine,6.2,Gavin Hood
Adventure Action Thriller Science Fiction,605,en,11/5/2003,129,The Matrix Revolutions,6.4,Lilly Wachowski
Animation Adventure Family,109445,en,11/27/2013,102,Frozen,7.3,Chris Buck
Adventure Action Thriller Science Fiction,604,en,5/15/2003,138,The Matrix Reloaded,6.7,Lilly Wachowski
Action Adventure Fantasy,76338,en,10/29/2013,112,Thor: The Dark World,6.8,Alan Taylor
Action Adventure Science Fiction Thriller,76341,en,5/13/2015,120,Mad Max: Fury Road,7.2,George Miller
Thriller Mystery,13448,en,5/13/2009,138,Angels & Demons,6.5,Ron Howard
Adventure Fantasy Action,10195,en,4/21/2011,115,Thor,6.6,Kenneth Branagh
Animation Family Adventure Comedy,13053,en,11/21/2008,98,Bolt,6.3,Chris Williams
Fantasy Action Adventure Family Comedy,19585,en,7/21/2009,88,G-Force,5.1,Hoyt Yeatman
Adventure,57165,en,3/27/2012,99,Wrath of the Titans,5.5,Jonathan Liebesman
Comedy Fantasy,62213,en,5/8/2012,113,Dark Shadows,5.7,Tim Burton
Action Adventure Thriller,177677,en,7/23/2015,131,Mission: Impossible - Rogue Nation,7.1,Christopher McQuarrie
Drama Horror Thriller,7978,en,2/11/2010,102,The Wolfman,5.5,Joe Johnston
Family Animation Adventure Comedy,5559,en,10/28/2007,91,Bee Movie,5.7,Steve Hickner
Animation Family,49444,en,5/25/2011,91,Kung Fu Panda 2,6.7,Jennifer Yuh Nelson
Action Adventure Family Fantasy,10196,en,6/30/2010,103,The Last Airbender,4.7,M. Night Shyamalan
Adventure Action Thriller,956,en,5/3/2006,126,Mission: Impossible III,6.5,J.J. Abrams
Action Drama Thriller,117251,en,6/27/2013,131,White House Down,6.4,Roland Emmerich
Adventure Animation Family,50321,en,3/9/2011,88,Mars Needs Moms,5.5,Simon Wells
Adventure Animation Comedy Family,11619,en,10/22/2006,85,Flushed Away,6,David Bowers
Adventure Family Fantasy,266647,en,9/24/2015,111,Pan,5.9,Joe Wright
Animation Adventure Family,82703,en,2/7/2014,92,Mr. Peabody & Sherman,6.7,Rob Minkoff
Adventure Drama War,652,en,5/13/2004,163,Troy,6.9,Wolfgang Petersen
Animation Family,80321,en,6/6/2012,93,Madagascar 3: Europe's Most Wanted,6.4,Conrad Vernon
Adventure Action Thriller,36669,en,11/17/2002,133,Die Another Day,5.8,Lee Tamahori
Action Fantasy Comedy,43074,en,7/14/2016,116,Ghostbusters,5.3,Paul Feig
Action Thriller Science Fiction Adventure,95,en,7/1/1998,151,Armageddon,6.4,Michael Bay
Action Adventure Comedy Science Fiction,608,en,7/3/2002,88,Men in Black II,6,Barry Sonnenfeld
Adventure Action Animation,2310,en,11/5/2007,115,Beowulf,5.5,Robert Zemeckis
Action Adventure Animation Comedy Family,140300,en,1/23/2016,95,Kung Fu Panda 3,6.7,Jennifer Yuh Nelson
Action Thriller Adventure,56292,en,12/7/2011,133,Mission: Impossible - Ghost Protocol,6.8,Brad Bird
Fantasy Animation Family,81188,en,11/21/2012,97,Rise of the Guardians,7.1,Peter Ramsey
Comedy,7552,en,12/21/2005,90,Fun with Dick and Jane,5.9,Dean Parisot
Drama Action War History,616,en,12/5/2003,154,The Last Samurai,7.3,Edward Zwick
Adventure Drama Action,147441,en,12/3/2014,150,Exodus: Gods and Kings,5.6,Ridley Scott
Science Fiction Action Adventure,13475,en,5/6/2009,127,Star Trek,7.4,J.J. Abrams
Fantasy Action,557,en,5/1/2002,121,Spider-Man,6.8,Sam Raimi
Fantasy Action Adventure Animation Comedy,82702,en,6/12/2014,102,How to Train Your Dragon 2,7.6,Dean DeBlois
Fantasy,205584,en,2/25/2016,127,Gods of Egypt,5.3,Alex Proyas
Action,10048,en,7/28/2005,121,Stealth,4.9,Rob Cohen
Action Mystery Science Fiction,13183,en,3/5/2009,163,Watchmen,7,Zack Snyder
Action Adventure Comedy Crime Thriller,944,en,7/10/1998,127,Lethal Weapon 4,6.3,Richard Donner
Drama Action Science Fiction,1927,en,6/19/2003,138,Hulk,5.3,Ang Lee
Adventure Action Science Fiction Thriller,72559,en,3/26/2013,110,G.I. Joe: Retaliation,5.4,Jon M. Chu
Action Adventure Comedy Drama Mystery,7364,en,4/6/2005,124,Sahara,5.7,Breck Eisner
Adventure Action Animation Fantasy Science Fiction,2114,en,7/2/2001,106,Final Fantasy: The Spirits Within,5.9,Hironobu Sakaguchi
Action Adventure Science Fiction,1771,en,7/22/2011,124,Captain America: The First Avenger,6.6,Joe Johnston
Adventure Action Thriller,36643,en,11/8/1999,128,The World Is Not Enough,6,Michael Apted
Adventure,8619,en,11/14/2003,138,Master and Commander: The Far Side of the World,6.9,Peter Weir
Adventure Fantasy Drama Romance,50620,en,11/13/2012,115,The Twilight Saga: Breaking Dawn - Part 2,6.1,Bill Condon
Animation Comedy Family,65759,en,11/17/2011,100,Happy Feet Two,5.8,George Miller
Science Fiction Action Adventure,1724,en,6/12/2008,114,The Incredible Hulk,6.1,Louis Leterrier
Adventure Family Fantasy,267935,en,6/1/2016,120,The BFG,6,Steven Spielberg
Western Drama Adventure Thriller,281957,en,12/25/2015,156,The Revenant,7.3,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Animation Family,77950,en,7/11/2013,96,Turbo,6.1,David Soren
Animation Comedy Family Western Adventure,44896,en,3/2/2011,107,Rango,6.6,Gore Verbinski
Family Animation Adventure Comedy,270946,en,11/22/2014,92,Penguins of Madagascar,6.5,Eric Darnell
Action Drama Mystery Thriller,2503,en,8/3/2007,115,The Bourne Ultimatum,7.3,Paul Greengrass
Adventure Animation Family Comedy,9502,en,6/4/2008,90,Kung Fu Panda,6.9,Mark Osborne
Science Fiction Action Adventure,102899,en,7/14/2015,117,Ant-Man,7,Peyton Reed
Adventure Action Science Fiction,101299,en,11/15/2013,146,The Hunger Games: Catching Fire,7.4,Francis Lawrence
Fantasy Comedy Animation Science Fiction Family,228161,en,3/18/2015,94,Home,6.8,Tim Johnson
Adventure Thriller Science Fiction,74,en,6/28/2005,116,War of the Worlds,6.2,Steven Spielberg
Adventure Action Comedy Thriller Crime,8961,en,7/18/2003,147,Bad Boys II,6.3,Michael Bay
Action Adventure Animation Family Fantasy,417859,en,10/28/2011,90,Puss in Boots,6.4,Chris Miller
Action Mystery Thriller,27576,en,7/21/2010,100,Salt,6.2,Phillip Noyce
Drama Adventure,86834,en,3/20/2014,139,Noah,5.6,Darren Aronofsky
Adventure Animation Mystery,17578,en,10/25/2011,107,The Adventures of Tintin,6.7,Steven Spielberg
Adventure Fantasy Family,673,en,5/31/2004,141,Harry Potter and the Prisoner of Azkaban,7.7,Alfonso Cuar\u00f3n
Drama,6972,en,11/18/2008,165,Australia,6.3,Baz Luhrmann
Science Fiction Action Adventure,82700,en,5/30/2013,100,After Earth,5,M. Night Shyamalan
Animation Family,10567,en,5/19/2000,82,Dinosaur,6.2,Ralph Zondag
Adventure Comedy Fantasy Family,181533,en,12/17/2014,97,Night at the Museum: Secret of the Tomb,6.1,Shawn Levy
Animation Action Comedy Family Science Fiction,38055,en,10/28/2010,95,Megamind,6.7,Tom McGrath
Adventure Fantasy Family,671,en,11/16/2001,152,Harry Potter and the Philosopher's Stone,7.5,Chris Columbus
Fantasy Action Comedy Crime,49524,en,7/18/2013,96,R.I.P.D.,5.4,Robert Schwentke
Adventure Fantasy Action,22,en,7/9/2003,143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,Gore Verbinski
Science Fiction Adventure Thriller,131631,en,11/18/2014,123,The Hunger Games: Mockingjay - Part 1,6.6,Francis Lawrence
Thriller Mystery,591,en,5/17/2006,149,The Da Vinci Code,6.5,Ron Howard
Animation Adventure Comedy Family,172385,en,3/19/2014,102,Rio 2,6.3,Carlos Saldanha
Adventure Action Science Fiction Thriller,36658,en,4/24/2003,133,X2,6.8,Bryan Singer
Action Thriller Crime,51497,en,4/20/2011,130,Fast Five,7.1,Justin Lin
Adventure Action Crime Mystery,58574,en,11/22/2011,129,Sherlock Holmes: A Game of Shadows,7,Guy Ritchie
Adventure Fantasy Action,18823,en,4/1/2010,106,Clash of the Titans,5.6,Louis Leterrier
Action Adventure Science Fiction,861,en,6/1/1990,113,Total Recall,7.1,Paul Verhoeven
Adventure Fantasy Action,1911,en,8/27/1999,102,The 13th Warrior,6.4,John McTiernan
Action Thriller,49040,en,8/8/2012,120,The Bourne Legacy,6,Tony Gilroy
Action Crime Fantasy,415,en,6/20/1997,125,Batman & Robin,4.2,Joel Schumacher
Family Comedy Fantasy,8871,en,11/17/2000,104,How the Grinch Stole Christmas,6.2,Ron Howard
Action Adventure Science Fiction Thriller,435,en,5/26/2004,124,The Day After Tomorrow,6.2,
Adventure Action Thriller,955,en,5/24/2000,123,Mission: Impossible II,5.9,John Woo
Drama,2133,en,3/15/2000,130,The Perfect Storm,6.2,Wolfgang Petersen
Adventure Fantasy Action Thriller,1979,en,6/13/2007,92,Fantastic 4: Rise of the Silver Surfer,5.4,Tim Story
Adventure Drama Action,87827,en,11/20/2012,127,Life of Pi,7.2,Ang Lee
Thriller Action Fantasy Horror,1250,en,2/16/2007,114,Ghost Rider,5.2,Mark Steven Johnson
Action Thriller,324668,en,7/27/2016,123,Jason Bourne,5.9,Paul Greengrass
Action Adventure Comedy,9471,en,6/27/2003,106,Charlie's Angels: Full Throttle,5.2,McG
Science Fiction Adventure Mystery,70981,en,5/30/2012,124,Prometheus,6.3,Ridley Scott
Family Adventure Animation Comedy,10996,en,7/19/2002,78,Stuart Little 2,5.4,Rob Minkoff
Science Fiction Action Drama Thriller,68724,en,8/7/2013,109,Elysium,6.4,Neill Blomkamp
Action Science Fiction,2789,en,6/11/2004,119,The Chronicles of Riddick,6.3,David Twohy
Action Science Fiction,97020,en,1/30/2014,102,RoboCop,5.7,Jos\u00e9 Padilha
Action Family Science Fiction,7459,en,5/9/2008,135,Speed Racer,5.7,Lilly Wachowski
Comedy Drama Romance,42888,en,12/17/2010,121,How Do You Know,4.9,James L. Brooks
Action Comedy,37834,en,6/15/2010,109,Knight and Day,5.9,James Mangold
Action Science Fiction Adventure Mystery,75612,en,4/10/2013,124,Oblivion,6.4,Joseph Kosinski
Science Fiction Adventure Action,1895,en,5/17/2005,140,Star Wars: Episode III - Revenge of the Sith,7.1,George Lucas
Adventure Action Science Fiction,1894,en,5/15/2002,142,Star Wars: Episode II - Attack of the Clones,6.4,George Lucas
Animation Comedy Family,585,en,11/1/2001,92,"Monsters, Inc.",7.5,
Action Science Fiction Adventure Fantasy,76170,en,7/23/2013,126,The Wolverine,6.3,James Mangold
Adventure Action Science Fiction,1893,en,5/19/1999,136,Star Wars: Episode I - The Phantom Menace,6.3,George Lucas
Adventure Animation Comedy Family Fantasy,49519,en,3/20/2013,98,The Croods,6.8,Chris Sanders
Fantasy Adventure Comedy Family,2395,fr,1/13/2008,116,Asterix at the Olympic Games,5,Thomas Langmann
Drama Action History War,12100,en,6/14/2002,134,Windtalkers,5.8,John Woo
Action Adventure Drama,290595,en,4/6/2016,114,The Huntsman: Winter's War,6,Cedric Nicolas-Troyan
Science Fiction Action Adventure Fantasy Comedy,98566,en,8/7/2014,101,Teenage Mutant Ninja Turtles,5.8,Jonathan Liebesman
Science Fiction Thriller Drama,49047,en,9/27/2013,91,Gravity,7.3,Alfonso Cuar\u00f3n
Action Adventure Thriller,9619,en,2/7/1997,108,Dante's Peak,5.7,Roger Donaldson
Fantasy Action Adventure Comedy,308531,en,6/1/2016,112,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,Dave Green
Action Adventure Science Fiction,166424,en,8/5/2015,100,Fantastic Four,4.4,Josh Trank
Action Adventure Comedy Family Fantasy,1593,en,10/20/2006,108,Night at the Museum,6.3,Shawn Levy
Action Drama Thriller,254128,en,5/27/2015,114,San Andreas,6,Brad Peyton
Adventure Action Thriller,714,en,12/11/1997,119,Tomorrow Never Dies,6,Roger Spottiswoode
Drama History War Action,2024,en,6/28/2000,165,The Patriot,6.8,Roland Emmerich
Thriller Crime,163,en,12/9/2004,125,Ocean's Twelve,6.4,Steven Soderbergh
Action Comedy Drama Thriller,787,en,6/7/2005,120,Mr. & Mrs. Smith,6.5,Doug Liman
Adventure Science Fiction Thriller,262500,en,3/18/2015,119,Insurgent,6.2,Robert Schwentke
Drama,2567,en,12/17/2004,170,The Aviator,7,Martin Scorsese
Comedy,38745,en,12/25/2010,85,Gulliver's Travels,4.9,Rob Letterman
Action Crime Comedy,40805,en,1/12/2011,119,The Green Hornet,5.5,Michel Gondry
Action War,53182,en,3/5/2014,102,300: Rise of an Empire,6.1,Noam Murro
Animation Family Adventure Comedy Fantasy,41513,en,7/29/2011,103,The Smurfs,5.5,Raja Gosnell
Animation Family,13700,en,4/2/2004,76,Home on the Range,5.7,Will Finn
Adventure Science Fiction,262504,en,3/9/2016,121,Allegiant,5.9,Robert Schwentke
Action Science Fiction Drama,39254,en,9/28/2011,127,Real Steel,6.6,Shawn Levy
Fantasy Family Comedy Animation,77931,en,7/30/2013,105,The Smurfs 2,5.5,Raja Gosnell
Action Adventure Thriller,1639,en,6/13/1997,121,Speed 2: Cruise Control,4.1,Jan de Bont
Science Fiction Action Adventure,80274,en,10/23/2013,114,Ender's Game,6.6,Gavin Hood
Action Thriller,1571,en,6/20/2007,128,Live Free or Die Hard,6.4,Len Wiseman
Adventure Fantasy Action,120,en,12/18/2001,178,The Lord of the Rings: The Fellowship of the Ring,8,Peter Jackson
Action Adventure Comedy,10204,en,6/16/2004,120,Around the World in 80 Days,5.7,Frank Coraci
Drama,8489,en,12/11/2001,157,Ali,6.7,Michael Mann
Comedy Fantasy Family,10588,en,11/21/2003,82,The Cat in the Hat,4.9,Bo Welch
Action Science Fiction,2048,en,7/15/2004,115,"I, Robot",6.7,Alex Proyas
Drama Action Adventure History War,1495,en,5/3/2005,144,Kingdom of Heaven,6.6,Ridley Scott
Animation Fantasy Family Comedy,10137,en,12/17/1999,84,Stuart Little,5.8,Rob Minkoff
Romance Family Animation Music,10198,en,12/8/2009,97,The Princess and the Frog,6.7,Ron Clements
Drama Adventure Science Fiction,286217,en,9/30/2015,141,The Martian,7.6,Ridley Scott
Action Thriller Science Fiction Adventure,1635,en,7/20/2005,136,The Island,6.5,Michael Bay
Comedy Romance,24113,en,4/27/2001,104,Town & Country,3.7,Peter Chelsom
Action Crime Thriller,9679,en,6/9/2000,118,Gone in Sixty Seconds,6.1,Dominic Sena
Action Drama Adventure,98,en,5/1/2000,155,Gladiator,7.9,Ridley Scott
Action Thriller Science Fiction Mystery,180,en,6/20/2002,145,Minority Report,7.1,Steven Spielberg
Adventure Fantasy Family,672,en,11/13/2002,161,Harry Potter and the Chamber of Secrets,7.4,Chris Columbus
Adventure Action Thriller,36557,en,11/14/2006,144,Casino Royale,7.3,Martin Campbell
Thriller Science Fiction Action Adventure,869,en,7/25/2001,119,Planet of the Apes,5.6,Tim Burton
Action Thriller Science Fiction,280,en,7/1/1991,137,Terminator 2: Judgment Day,7.7,James Cameron
History Crime Drama,11322,en,7/1/2009,140,Public Enemies,6.5,Michael Mann
Drama Crime,4982,en,11/2/2007,157,American Gangster,7.4,Ridley Scott
Action Thriller,36955,en,7/14/1994,141,True Lies,6.8,James Cameron
Thriller Drama Crime,18487,en,6/11/2009,106,The Taking of Pelham 1 2 3,6.2,Tony Scott
Comedy Romance,39451,en,12/21/2010,98,Little Fockers,5.4,Paul Weitz
Action Comedy Crime,27581,en,8/6/2010,107,The Other Guys,6.1,Adam McKay
Action Drama Mystery Thriller,9268,en,6/21/1996,115,Eraser,5.6,Chuck Russell
Drama Western,68718,en,12/25/2012,165,Django Unchained,7.8,Quentin Tarantino
